name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Tata Nexon,2013,156300.0,99104,Petrol,Individual,Manual,First Owner,19.83 kmpl,1147 CC,115.1 bhp,249Nm@ 1653rpm,7
Honda City,2009,66400.0,116121,Diesel,Individual,Manual,Fourth & Above Owner,16.91 kmpl,1232 CC,90.43 bhp,276Nm@ 3285rpm,5
Audi A4,2009,262800.0,116646,Diesel,Trustmark Dealer,Manual,First Owner,15.57 kmpl,2894 CC,283.17 bhp,220Nm@ 3431rpm,7
Hyundai i20,2007,42700.0,114470,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,26.26 kmpl,824 CC,65.49 bhp,114Nm@ 2325rpm,5
Ford Ecosport,2022,302000.0,107485,Petrol,Dealer,Manual,First Owner,20.28 kmpl,1242 CC,90.58 bhp,60Nm@ 3643rpm,8
Skoda Octavia,2009,80700.0,154756,Petrol,Individual,Manual,First Owner,15.31 kmpl,815 CC,104.09 bhp,173Nm@ 2350rpm,5
Audi A4,2019,607000.0,127323,Diesel,Trustmark Dealer,Manual,First Owner,20.43 kmpl,2764 CC,285.13 bhp,155Nm@ 3042rpm,7
Skoda Octavia,2014,137400.0,139017,Diesel,Individual,Manual,Second Owner,17.94 kmpl,1365 CC,102.43 bhp,229Nm@ 3310rpm,5
Mahindra XUV500,2011,103300.0,150018,Diesel,Individual,Manual,First Owner,18.52 kmpl,1264 CC,80.92 bhp,179Nm@ 2714rpm,7
Maruti Swift,2005,65700.0,151843,Diesel,Individual,Automatic,First Owner,20.04 kmpl,1190 CC,74.39 bhp,222Nm@ 1970rpm,5
BMW 3 Series,2015,450700.0,100117,Petrol,Individual,Manual,First Owner,16.93 kmpl,2906 CC,232.85 bhp,170Nm@ 2428rpm,5
Ford Ecosport,2017,207000.0,64555,Petrol,Dealer,Automatic,Second Owner,20.83 kmpl,828 CC,108.9 bhp,145Nm@ 3693rpm,7
Maruti Swift,2015,120700.0,44040,CNG,Dealer,Manual,First Owner,24.06 kmpl,700 CC,51.01 bhp,165Nm@ 3168rpm,5
Mahindra XUV500,2007,68100.0,189068,CNG,Dealer,Manual,First Owner,19.94 kmpl,926 CC,101.37 bhp,60Nm@ 3074rpm,7
Audi A4,2006,170800.0,184641,Diesel,Dealer,Automatic,First Owner,13.73 kmpl,2782 CC,280.13 bhp,233Nm@ 2077rpm,5
Honda City,2011,117400.0,157044,Diesel,Individual,Automatic,First Owner,14.08 kmpl,1393 CC,82.54 bhp,208Nm@ 3680rpm,5
Toyota Innova,2014,188600.0,107484,Diesel,Individual,Automatic,First Owner,20.67 kmpl,1638 CC,95.52 bhp,171Nm@ 1859rpm,5
Toyota Innova,2007,78400.0,137529,CNG,Dealer,Manual,Second Owner,21.51 kmpl,1158 CC,97.62 bhp,250Nm@ 2023rpm,4
Audi A4,2018,495600.0,94011,Petrol,Individual,Manual,Second Owner,8.0 kmpl,2870 CC,250.69 bhp,118Nm@ 2138rpm,7
Skoda Octavia,2018,312300.0,38968,Petrol,Dealer,Manual,First Owner,22.74 kmpl,1422 CC,109.91 bhp,91Nm@ 3406rpm,5
BMW 3 Series,2009,229900.0,137097,Petrol,Individual,Manual,First Owner,10.13 kmpl,2630 CC,228.34 bhp,132Nm@ 3775rpm,5
Mahindra XUV500,2006,43700.0,212956,Petrol,Individual,Manual,Third Owner,23.17 kmpl,916 CC,102.26 bhp,179Nm@ 2960rpm,5
Mahindra XUV500,2010,116600.0,116781,Petrol,Individual,Manual,First Owner,12.17 kmpl,1359 CC,95.51 bhp,149Nm@ 3521rpm,4
Honda City,2006,39200.0,211516,Diesel,Dealer,Manual,First Owner,24.22 kmpl,1148 CC,40.31 bhp,165Nm@ 1819rpm,5
Mahindra XUV500,2009,117100.0,154748,Diesel,Individual,Manual,First Owner,19.03 kmpl,1599 CC,123.09 bhp,115Nm@ 2842rpm,5
Ford Ecosport,2013,102100.0,130543,Petrol,Individual,Manual,Third Owner,23.68 kmpl,1167 CC,72.37 bhp,179Nm@ 3355rpm,7
Skoda Octavia,2015,155500.0,83191,Diesel,Individual,Manual,Second Owner,20.41 kmpl,865 CC,110.65 bhp,222Nm@ 2818rpm,7
Skoda Octavia,2018,203400.0,100756,Petrol,Individual,Manual,First Owner,21.06 kmpl,1444 CC,70.14 bhp,164Nm@ 1697rpm,5
Mahindra XUV500,2007,87500.0,84249,Diesel,Dealer,Manual,First Owner,22.43 kmpl,1236 CC,97.06 bhp,84Nm@ 2450rpm,5
Maruti Swift,2008,55300.0,184841,Petrol,Individual,Manual,First Owner,21.21 kmpl,1157 CC,53.33 bhp,195Nm@ 1629rpm,5
Honda City,2023,271700.0,131715,Petrol,Dealer,Automatic,First Owner,20.91 kmpl,1011 CC,59.65 bhp,195Nm@ 2484rpm,5
Maruti Swift,2019,203000.0,110517,Diesel,Dealer,Manual,First Owner,24.69 kmpl,1140 CC,70.09 bhp,112Nm@ 3967rpm,5
Mahindra XUV500,2005,51800.0,145950,Petrol,Individual,Manual,First Owner,22.28 kmpl,997 CC,68.51 bhp,136Nm@ 1974rpm,5
Hyundai i20,2021,228100.0,64478,Petrol,Individual,Manual,First Owner,20.18 kmpl,777 CC,75.97 bhp,154Nm@ 2348rpm,5
Toyota Innova,2013,158000.0,102588,Diesel,Trustmark Dealer,Manual,Second Owner,14.97 kmpl,1417 CC,116.78 bhp,143Nm@ 3832rpm,5
Maruti Swift,2017,167500.0,134013,Petrol,Individual,Manual,First Owner,18.82 kmpl,700 CC,101.94 bhp,128Nm@ 1554rpm,5
Tata Nexon,2007,90200.0,86737,Petrol,Individual,Manual,First Owner,17.02 kmpl,1279 CC,100.5 bhp,107Nm@ 3990rpm,4
Skoda Octavia,2019,194200.0,121697,Petrol,Dealer,Manual,Fourth & Above Owner,19.16 kmpl,1557 CC,111.54 bhp,60Nm@ 3501rpm,8
Tata Nexon,2014,168000.0,49557,Petrol,Dealer,Manual,First Owner,24.65 kmpl,1356 CC,55.13 bhp,73Nm@ 3257rpm,5
BMW 3 Series,2006,138000.0,127155,CNG,Dealer,Manual,Second Owner,15.42 kmpl,2696 CC,265.0 bhp,286Nm@ 2020rpm,5
Skoda Octavia,2006,87700.0,92813,Diesel,Dealer,Automatic,First Owner,20.87 kmpl,1199 CC,93.56 bhp,60Nm@ 3200rpm,4
BMW 3 Series,2010,235400.0,107579,Diesel,Individual,Automatic,Third Owner,15.58 kmpl,3000 CC,283.56 bhp,60Nm@ 3099rpm,7
Hyundai i20,2015,106700.0,96124,Petrol,Dealer,Manual,Third Owner,23.55 kmpl,1025 CC,60.61 bhp,60Nm@ 2250rpm,5
Toyota Innova,2023,478700.0,51852,Petrol,Individual,Manual,Second Owner,18.65 kmpl,1407 CC,143.7 bhp,60Nm@ 1630rpm,7
Hyundai i20,2009,82300.0,162500,CNG,Dealer,Manual,First Owner,18.15 kmpl,1059 CC,81.67 bhp,200Nm@ 2723rpm,7
BMW 3 Series,2022,942200.0,22570,LPG,Trustmark Dealer,Manual,Second Owner,13.83 kmpl,2863 CC,262.01 bhp,85Nm@ 3021rpm,4
Tata Nexon,2022,251700.0,123482,Petrol,Dealer,Manual,Second Owner,11.22 kmpl,1296 CC,80.68 bhp,60Nm@ 1538rpm,5
Skoda Octavia,2021,173900.0,151483,Petrol,Individual,Manual,Third Owner,20.1 kmpl,1088 CC,69.66 bhp,188Nm@ 3414rpm,8
Tata Nexon,2018,104800.0,134810,Diesel,Individual,Manual,Third Owner,17.31 kmpl,756 CC,55.05 bhp,124Nm@ 2665rpm,7
Skoda Octavia,2022,446500.0,40855,Diesel,Individual,Automatic,First Owner,16.34 kmpl,1617 CC,90.26 bhp,140Nm@ 2963rpm,5
Skoda Octavia,2015,151900.0,100601,Diesel,Dealer,Manual,Third Owner,18.81 kmpl,1223 CC,103.68 bhp,178Nm@ 1553rpm,8
Tata Nexon,2021,269000.0,167559,Petrol,Individual,Manual,First Owner,20.77 kmpl,1539 CC,71.44 bhp,142Nm@ 2451rpm,7
Honda City,2013,127200.0,109584,CNG,Dealer,Manual,First Owner,18.79 kmpl,1101 CC,71.96 bhp,152Nm@ 3662rpm,8
Audi A4,2007,174500.0,182335,Petrol,Individual,Automatic,Second Owner,10.6 kmpl,2886 CC,266.33 bhp,199Nm@ 3216rpm,7
Audi A4,2008,204500.0,180375,Diesel,Dealer,Automatic,First Owner,15.95 kmpl,2666 CC,262.2 bhp,108Nm@ 3903rpm,5
Hyundai i20,2018,146100.0,63622,Diesel,Individual,Manual,Second Owner,22.52 kmpl,864 CC,49.15 bhp,136Nm@ 3961rpm,4
Tata Nexon,2014,108900.0,149523,Diesel,Individual,Manual,Second Owner,18.65 kmpl,1196 CC,72.06 bhp,179Nm@ 3948rpm,7
Audi A4,2005,156300.0,123470,Petrol,Individual,Manual,First Owner,19.73 kmpl,2610 CC,276.9 bhp,143Nm@ 2015rpm,7
Maruti Swift,2007,77300.0,92954,Petrol,Dealer,Manual,First Owner,19.47 kmpl,1124 CC,79.66 bhp,189Nm@ 2368rpm,5
Toyota Innova,2010,132300.0,111970,Diesel,Individual,Manual,Second Owner,22.93 kmpl,1485 CC,112.82 bhp,80Nm@ 3107rpm,7
BMW 3 Series,2021,590200.0,136928,Diesel,Dealer,Manual,Third Owner,8.0 kmpl,3000 CC,282.52 bhp,60Nm@ 2513rpm,5
Ford Ecosport,2006,78700.0,117788,Petrol,Individual,Manual,First Owner,22.34 kmpl,1587 CC,73.99 bhp,197Nm@ 1601rpm,5
BMW 3 Series,2012,262400.0,148894,Diesel,Individual,Manual,First Owner,16.54 kmpl,2405 CC,258.65 bhp,153Nm@ 3268rpm,5
Maruti Swift,2017,129500.0,89734,Diesel,Individual,Manual,Second Owner,17.8 kmpl,801 CC,53.33 bhp,233Nm@ 3425rpm,5
BMW 3 Series,2010,253100.0,175654,Diesel,Trustmark Dealer,Automatic,Second Owner,18.57 kmpl,2803 CC,279.62 bhp,189Nm@ 1521rpm,5
Audi A4,2007,142300.0,194997,Petrol,Dealer,Manual,Second Owner,12.62 kmpl,2629 CC,229.6 bhp,138Nm@ 3835rpm,7
Honda City,2016,136500.0,160464,Diesel,Trustmark Dealer,Automatic,Second Owner,20.67 kmpl,1215 CC,66.09 bhp,215Nm@ 1658rpm,5
Audi A4,2009,249500.0,85098,LPG,Individual,Automatic,Second Owner,9.61 kmpl,3000 CC,253.12 bhp,60Nm@ 2894rpm,5
Audi A4,2016,545200.0,76462,Petrol,Individual,Manual,First Owner,8.0 kmpl,3000 CC,279.13 bhp,60Nm@ 2052rpm,5
Mahindra XUV500,2019,255200.0,141978,Petrol,Individual,Manual,First Owner,24.41 kmpl,1409 CC,88.9 bhp,253Nm@ 1800rpm,4
Tata Nexon,2019,163900.0,103160,Diesel,Individual,Manual,Second Owner,18.46 kmpl,1060 CC,64.25 bhp,72Nm@ 3456rpm,5
Ford Ecosport,2016,154200.0,142507,Petrol,Individual,Automatic,First Owner,19.09 kmpl,1027 CC,73.16 bhp,193Nm@ 3666rpm,5
Honda City,2010,87900.0,130682,Petrol,Individual,Manual,Second Owner,16.67 kmpl,1106 CC,87.43 bhp,60Nm@ 2817rpm,5
Toyota Innova,2017,270900.0,70356,Diesel,Dealer,Manual,First Owner,19.8 kmpl,1393 CC,116.74 bhp,161Nm@ 2087rpm,5
Skoda Octavia,2018,201300.0,98322,CNG,Dealer,Manual,Second Owner,20.9 kmpl,1109 CC,98.64 bhp,198Nm@ 2612rpm,7
BMW 3 Series,2017,551000.0,74848,Petrol,Dealer,Automatic,First Owner,13.02 kmpl,2857 CC,254.13 bhp,208Nm@ 2210rpm,5
Ford Ecosport,2023,444400.0,37301,Diesel,Individual,Manual,First Owner,12.9 kmpl,1421 CC,96.58 bhp,60Nm@ 3875rpm,7
Hyundai i20,2010,96200.0,66926,Petrol,Individual,Manual,Second Owner,20.44 kmpl,957 CC,89.69 bhp,204Nm@ 2647rpm,7
BMW 3 Series,2008,197100.0,125388,Diesel,Individual,Manual,First Owner,15.66 kmpl,2894 CC,250.74 bhp,205Nm@ 3181rpm,5
Hyundai i20,2021,251700.0,42947,Petrol,Dealer,Manual,First Owner,20.12 kmpl,808 CC,70.31 bhp,100Nm@ 3345rpm,7
Maruti Swift,2016,90600.0,104382,CNG,Dealer,Manual,Third Owner,18.71 kmpl,759 CC,50.06 bhp,218Nm@ 3699rpm,7
Maruti Swift,2009,46200.0,165444,Petrol,Dealer,Manual,Second Owner,17.26 kmpl,851 CC,43.09 bhp,180Nm@ 2172rpm,5
Tata Nexon,2021,265100.0,60837,Diesel,Individual,Manual,First Owner,16.54 kmpl,983 CC,83.88 bhp,190Nm@ 3077rpm,5
Mahindra XUV500,2011,91900.0,156491,Petrol,Individual,Automatic,Second Owner,17.44 kmpl,1361 CC,73.68 bhp,60Nm@ 2593rpm,5
BMW 3 Series,2011,273200.0,121192,Diesel,Dealer,Manual,First Owner,11.69 kmpl,2766 CC,272.5 bhp,79Nm@ 2653rpm,5
Tata Nexon,2016,135100.0,124324,Petrol,Individual,Manual,Second Owner,25.2 kmpl,894 CC,90.87 bhp,143Nm@ 2156rpm,5
Skoda Octavia,2007,90600.0,97769,LPG,Trustmark Dealer,Manual,Third Owner,17.69 kmpl,1771 CC,111.14 bhp,118Nm@ 3023rpm,5
Hyundai i20,2018,193800.0,81821,Diesel,Individual,Manual,First Owner,18.71 kmpl,1183 CC,62.97 bhp,176Nm@ 3690rpm,5
Mahindra XUV500,2009,95300.0,128914,Diesel,Individual,Manual,Second Owner,11.59 kmpl,1554 CC,97.24 bhp,184Nm@ 1898rpm,5
Ford Ecosport,2007,65700.0,154777,Diesel,Trustmark Dealer,Manual,Second Owner,16.66 kmpl,1087 CC,93.7 bhp,110Nm@ 3460rpm,7
Mahindra XUV500,2017,251900.0,74667,Diesel,Individual,Automatic,First Owner,18.44 kmpl,1185 CC,100.63 bhp,60Nm@ 3351rpm,5
Mahindra XUV500,2015,145500.0,157576,Diesel,Individual,Manual,First Owner,22.66 kmpl,1229 CC,88.28 bhp,116Nm@ 2852rpm,8
Honda City,2011,90500.0,106413,Petrol,Trustmark Dealer,Manual,Second Owner,19.87 kmpl,1282 CC,59.16 bhp,87Nm@ 3097rpm,5
Honda City,2011,122800.0,51960,Diesel,Individual,Automatic,First Owner,27.46 kmpl,1046 CC,65.73 bhp,254Nm@ 3411rpm,7
Tata Nexon,2009,90600.0,93206,Petrol,Individual,Manual,First Owner,19.26 kmpl,854 CC,80.83 bhp,139Nm@ 3268rpm,5
Toyota Innova,2010,100000.0,141310,Diesel,Individual,Manual,Third Owner,17.94 kmpl,1479 CC,114.64 bhp,185Nm@ 2258rpm,5
Hyundai i20,2012,110600.0,125679,Petrol,Individual,Manual,First Owner,22.33 kmpl,939 CC,88.21 bhp,128Nm@ 1907rpm,7
Honda City,2021,392700.0,32850,Diesel,Dealer,Manual,First Owner,16.44 kmpl,1329 CC,92.21 bhp,186Nm@ 2462rpm,5
Maruti Swift,2008,43100.0,178486,Petrol,Individual,Manual,Fourth & Above Owner,21.67 kmpl,771 CC,73.92 bhp,237Nm@ 3898rpm,8
Hyundai i20,2015,138000.0,74983,Diesel,Individual,Manual,First Owner,20.53 kmpl,984 CC,59.89 bhp,130Nm@ 3669rpm,7
Tata Nexon,2011,80700.0,149314,Petrol,Dealer,Manual,Second Owner,16.92 kmpl,885 CC,88.97 bhp,173Nm@ 1782rpm,5
Hyundai i20,2019,153300.0,131339,Petrol,Individual,Manual,First Owner,19.99 kmpl,1034 CC,35.97 bhp,169Nm@ 2634rpm,7
Skoda Octavia,2014,170600.0,154438,Petrol,Dealer,Manual,First Owner,19.38 kmpl,1374 CC,117.49 bhp,195Nm@ 3254rpm,5
Hyundai i20,2013,99400.0,136029,Petrol,Dealer,Manual,Third Owner,13.29 kmpl,1076 CC,79.21 bhp,143Nm@ 2624rpm,7
Audi A4,2008,163700.0,186730,Petrol,Individual,Manual,Second Owner,10.25 kmpl,2616 CC,242.29 bhp,151Nm@ 1835rpm,5
Audi A4,2008,200300.0,131300,Petrol,Dealer,Manual,First Owner,12.0 kmpl,2501 CC,265.79 bhp,183Nm@ 3566rpm,7
Toyota Innova,2021,308500.0,50485,Diesel,Individual,Manual,Fourth & Above Owner,17.88 kmpl,1452 CC,125.79 bhp,223Nm@ 3510rpm,5
Mahindra XUV500,2019,229100.0,74972,Petrol,Individual,Manual,First Owner,22.27 kmpl,1228 CC,66.81 bhp,211Nm@ 2872rpm,5
Ford Ecosport,2021,206200.0,104284,Petrol,Dealer,Manual,Third Owner,19.05 kmpl,1112 CC,83.62 bhp,133Nm@ 3119rpm,4
Skoda Octavia,2008,115400.0,98607,Petrol,Trustmark Dealer,Manual,First Owner,15.78 kmpl,1211 CC,115.95 bhp,213Nm@ 3743rpm,5
Hyundai i20,2005,54000.0,138092,Diesel,Dealer,Manual,First Owner,20.26 kmpl,869 CC,76.28 bhp,182Nm@ 1664rpm,7
Audi A4,2022,632300.0,91610,Diesel,Individual,Manual,Third Owner,11.89 kmpl,2535 CC,257.54 bhp,172Nm@ 2072rpm,7
Hyundai i20,2015,135000.0,110175,Petrol,Individual,Manual,First Owner,18.83 kmpl,1008 CC,75.94 bhp,256Nm@ 2087rpm,5
Skoda Octavia,2019,248900.0,136902,Petrol,Individual,Manual,First Owner,18.81 kmpl,1165 CC,97.58 bhp,157Nm@ 3923rpm,5
Skoda Octavia,2019,306500.0,77786,LPG,Dealer,Manual,First Owner,13.95 kmpl,1483 CC,104.07 bhp,91Nm@ 3314rpm,5
BMW 3 Series,2022,883500.0,71550,Diesel,Individual,Manual,First Owner,11.37 kmpl,2537 CC,274.01 bhp,81Nm@ 3785rpm,5
Skoda Octavia,2022,312500.0,92965,Petrol,Individual,Automatic,Third Owner,16.1 kmpl,1240 CC,99.18 bhp,167Nm@ 2112rpm,5
Toyota Innova,2010,120300.0,135904,Diesel,Trustmark Dealer,Manual,First Owner,16.66 kmpl,1229 CC,134.75 bhp,173Nm@ 3678rpm,8
Maruti Swift,2008,48900.0,152287,Diesel,Dealer,Manual,Third Owner,20.98 kmpl,933 CC,79.76 bhp,131Nm@ 2887rpm,7
BMW 3 Series,2006,180100.0,144696,Petrol,Individual,Manual,First Owner,14.34 kmpl,2580 CC,284.62 bhp,102Nm@ 2598rpm,7
BMW 3 Series,2020,569800.0,139387,Petrol,Dealer,Manual,First Owner,15.54 kmpl,2602 CC,264.46 bhp,178Nm@ 3548rpm,5
Skoda Octavia,2007,91500.0,140423,Diesel,Individual,Manual,First Owner,24.46 kmpl,1409 CC,107.93 bhp,193Nm@ 2344rpm,7
Hyundai i20,2023,310600.0,81544,Petrol,Individual,Manual,First Owner,21.88 kmpl,949 CC,78.89 bhp,117Nm@ 1769rpm,5
Audi A4,2010,212900.0,148830,Diesel,Dealer,Manual,Second Owner,12.69 kmpl,2512 CC,276.29 bhp,189Nm@ 1897rpm,7
Skoda Octavia,2010,121300.0,64492,Petrol,Individual,Manual,Second Owner,20.23 kmpl,1176 CC,107.47 bhp,128Nm@ 3121rpm,7
BMW 3 Series,2020,555900.0,109700,Diesel,Individual,Automatic,Third Owner,12.05 kmpl,2553 CC,260.54 bhp,94Nm@ 3544rpm,7
BMW 3 Series,2013,294000.0,146131,Petrol,Individual,Manual,First Owner,15.5 kmpl,2569 CC,232.54 bhp,203Nm@ 1905rpm,7
Skoda Octavia,2023,322800.0,122125,Petrol,Dealer,Manual,First Owner,17.83 kmpl,1127 CC,91.27 bhp,204Nm@ 3436rpm,5
Mahindra XUV500,2012,91100.0,109519,Petrol,Individual,Manual,First Owner,14.22 kmpl,942 CC,53.86 bhp,219Nm@ 2380rpm,5
Skoda Octavia,2015,204000.0,87026,Petrol,Individual,Manual,First Owner,20.97 kmpl,1190 CC,118.04 bhp,212Nm@ 1682rpm,7
BMW 3 Series,2011,229400.0,186541,LPG,Individual,Manual,First Owner,13.82 kmpl,2339 CC,236.24 bhp,196Nm@ 3452rpm,7
Audi A4,2011,275900.0,148374,Diesel,Dealer,Manual,Second Owner,15.61 kmpl,2817 CC,276.28 bhp,217Nm@ 2636rpm,5
Maruti Swift,2016,143000.0,92130,CNG,Dealer,Manual,First Owner,18.05 kmpl,880 CC,60.28 bhp,162Nm@ 3063rpm,7
Honda City,2010,104200.0,126042,Diesel,Individual,Manual,First Owner,17.12 kmpl,1628 CC,74.14 bhp,159Nm@ 1722rpm,4
BMW 3 Series,2010,257300.0,140484,Diesel,Dealer,Manual,First Owner,16.54 kmpl,2646 CC,281.5 bhp,167Nm@ 2564rpm,7
Tata Nexon,2012,117600.0,106465,Diesel,Individual,Manual,First Owner,19.13 kmpl,1012 CC,83.37 bhp,140Nm@ 2413rpm,7
Honda City,2015,159200.0,148577,Petrol,Individual,Manual,First Owner,17.86 kmpl,1147 CC,98.8 bhp,151Nm@ 2056rpm,5
Toyota Innova,2018,290300.0,88907,Diesel,Individual,Manual,First Owner,17.18 kmpl,1526 CC,112.71 bhp,144Nm@ 3231rpm,5
Hyundai i20,2013,157200.0,108244,Diesel,Individual,Manual,First Owner,21.27 kmpl,1267 CC,95.85 bhp,136Nm@ 3077rpm,7
Hyundai i20,2017,132300.0,51849,CNG,Individual,Manual,Second Owner,17.33 kmpl,887 CC,45.76 bhp,60Nm@ 3820rpm,7
Honda City,2022,333700.0,114533,Petrol,Individual,Manual,First Owner,25.23 kmpl,1621 CC,58.88 bhp,165Nm@ 3793rpm,5
Ford Ecosport,2015,132000.0,80251,Petrol,Individual,Manual,Fourth & Above Owner,19.58 kmpl,1096 CC,91.23 bhp,146Nm@ 2194rpm,5
Audi A4,2008,230600.0,100299,Petrol,Individual,Manual,First Owner,12.04 kmpl,2911 CC,263.35 bhp,221Nm@ 3546rpm,8
Toyota Innova,2011,153900.0,160803,Petrol,Individual,Automatic,First Owner,17.67 kmpl,1880 CC,120.03 bhp,148Nm@ 3249rpm,7
Honda City,2014,153900.0,93651,Diesel,Dealer,Manual,First Owner,17.12 kmpl,985 CC,94.28 bhp,193Nm@ 3548rpm,4
Ford Ecosport,2017,134100.0,124014,Petrol,Dealer,Manual,Second Owner,21.62 kmpl,1087 CC,68.2 bhp,60Nm@ 2881rpm,5
Honda City,2012,121300.0,119737,CNG,Individual,Automatic,First Owner,18.95 kmpl,1000 CC,78.14 bhp,189Nm@ 3869rpm,5
Hyundai i20,2017,181600.0,57441,Petrol,Individual,Manual,First Owner,21.84 kmpl,1151 CC,66.58 bhp,125Nm@ 2804rpm,5
Mahindra XUV500,2021,243400.0,103728,Petrol,Dealer,Manual,Second Owner,20.22 kmpl,700 CC,120.34 bhp,84Nm@ 2553rpm,5
Toyota Innova,2017,254200.0,103920,Diesel,Individual,Automatic,Second Owner,19.57 kmpl,1221 CC,131.18 bhp,192Nm@ 3841rpm,5
Maruti Swift,2022,262400.0,3430,CNG,Individual,Automatic,Second Owner,18.71 kmpl,936 CC,44.21 bhp,201Nm@ 2318rpm,7
Honda City,2021,235700.0,101115,Petrol,Individual,Manual,Second Owner,18.85 kmpl,924 CC,87.59 bhp,139Nm@ 2022rpm,5
Maruti Swift,2008,61000.0,95061,Diesel,Dealer,Manual,First Owner,23.18 kmpl,981 CC,58.13 bhp,63Nm@ 3181rpm,5
Honda City,2016,157800.0,107697,Diesel,Dealer,Manual,Third Owner,15.38 kmpl,1260 CC,101.03 bhp,190Nm@ 3327rpm,7
Hyundai i20,2007,30000.0,173631,Diesel,Dealer,Manual,Third Owner,15.82 kmpl,745 CC,41.19 bhp,152Nm@ 2567rpm,5
Ford Ecosport,2014,126900.0,99999,Petrol,Individual,Manual,Second Owner,16.37 kmpl,1089 CC,77.49 bhp,271Nm@ 1618rpm,8
Maruti Swift,2012,69100.0,89289,Diesel,Individual,Manual,First Owner,20.41 kmpl,700 CC,40.8 bhp,187Nm@ 3559rpm,7
Ford Ecosport,2008,56300.0,167968,Petrol,Individual,Manual,Second Owner,19.75 kmpl,905 CC,71.43 bhp,167Nm@ 3704rpm,5
Hyundai i20,2006,39500.0,198501,Petrol,Individual,Automatic,Third Owner,19.61 kmpl,1028 CC,63.16 bhp,74Nm@ 3909rpm,5
BMW 3 Series,2014,454900.0,68200,LPG,Individual,Automatic,First Owner,11.18 kmpl,2924 CC,267.76 bhp,224Nm@ 3092rpm,7
BMW 3 Series,2018,660800.0,53882,CNG,Individual,Manual,First Owner,13.53 kmpl,2594 CC,263.37 bhp,139Nm@ 3849rpm,5
